English,Korean
132,should,~해야 한다
133,anything,아무것
134,said,말했다
135,much,많이
136,any,어느
137,life,삶
138,even,조차
139,off,끄다
140,please,제발
141,doing,행위
142,thank,감사하다
143,give,주다
144,only,뿐
145,thought,생각
146,help,돕다
147,two,둘
148,talk,말하다
149,people,사람들
150,god,하느님
151,still,아직
152,wait,기다리다
153,into,~ 안으로
154,find,찾기
155,nothing,아무것도 아님
156,again,다시
157,things,것들
158,let's,하자
159,doesn't,그렇지 않습니다
160,call,전화
161,told,말했다
162,great,엄청난
163,before,~ 전에
164,better,더 나은
165,ever,항상
166,night,밤
167,than,~보다
168,away,떨어져 있는
169,first,첫 번째
170,believe,믿다
171,other,다른
172,feel,느끼다
173,everything,모든 것
174,work,일하다
175,you've,당신은
176,fine,좋아
177,home,집
178,after,~ 후에
179,last,마지막
180,these,이것들
181,day,낮
182,keep,유지하다
183,does,하다
184,put,놓다
185,around,주위에
186,stop,멈추다
187,they're,그것들입니다
188,I'd,ID
189,guy,남자
190,long,긴
191,isn't,그렇지 않습니다
192,always,언제나
193,listen,듣다
194,wanted,원해
195,Mr.,씨.
196,guys,얘들아
197,huh,뭐
198,those,저것들
199,big,큰
200,lot,많은
201,happened,일어난
202,thanks,감사해요
203,won't,습관
204,trying,견딜 수 없는
205,kind,친절한
206,wrong,잘못된
207,through,~을 통해
208,talking,말하는
209,made,만들어진
210,new,새로운
211,being,존재
212,guess,추측
213,hi,안녕
214,care,케어
215,bad,나쁜
216,mom,엄마
217,remember,기억하다
218,getting,구하는
219,we'll,잘
220,together,함께
221,dad,아빠
222,mother,어머니
223,place,장소
224,understand,이해하다
225,wouldn't,그렇지 않을 것입니다
226,actually,실제로
227,hear,듣다
228,baby,아기
229,nice,멋진
230,father,아버지
231,else,또 다른
232,stay,머무르다
233,done,완료
234,wasn't,그렇지 않았습니다
235,their,그들의
236,course,강의
237,might,~할 것 같다
238,mind,정신
239,every,모든
240,enough,충분한
241,try,노력하다
242,hell,지옥
243,came,왔다
244,someone,누구
245,you'll,당신은
246,own,소유하다
247,family,가족
248,whole,전부의
249,another,또 다른
250,house or House,집이나 집
251,Jack or jack,잭 또는 잭
252,yourself,당신 자신
253,idea,아이디어
254,ask,물어보기
255,best,베스트
256,must,~ 해야 하다
257,coming,오는
258,old,낡은
259,looking,보고있다
260,woman,여성
261,hello,안녕하세요
262,which,어느
263,years,연령
264,room,방
265,money,돈
266,left,왼쪽
267,knew,알고 있었다
268,tonight,오늘 밤
269,real,진짜
270,son,아들
271,hope,희망
272,name,이름
273,same,같은
274,went,갔다
275,um,음
276,hmm,흠
277,happy,행복하다
278,pretty,예쁜
279,saw,봤다
280,girl,여자
281,sir,선생님
282,friend,친구
283,already,이미
284,saying,속담
285,may or May,5 월 또는 5 월
286,next,다음
287,three,삼
288,job,직업
289,problem,문제
290,minute,분
291,found,설립하다
292,world,세계
293,thinking,생각
294,haven't,하지 않았다
295,heard,들었다
296,honey,꿀
297,matter,문제
298,myself,내 자신
299,couldn't,할 수 없었습니다
300,exactly,바로 그거죠
301,having,was
302,ah,아
303,probably,아마
304,happen,일어나다
305,we've,우리는
306,hurt,아프다
307,boy,소년
308,both,둘 다
309,while,동안
310,dead,죽은
311,gotta,gotta
312,since,~부터
313,excuse,변명
314,start,시작
315,kill,죽이다
316,hard,딱딱한
317,you'd,당신은
318,today,오늘
319,car,자동차
320,ready,준비가 된
321,until,~까지
322,without,없이
323,whatever,무엇이든
324,wants,원한다
325,hold,잡고 있다
326,wanna,원해
327,yet,아직
328,seen,본다
329,deal,거래
330,took,가지고 갔다
331,once,한 번
332,gone,다 쓴
333,called,~라고 불리는
334,morning,아침
335,supposed,추정된
336,friends,친구들
337,head,머리
338,stuff,물건
339,most,대부분
340,used,사용된
341,worry,걱정하다
342,second,초
343,part,부분
344,live,라이브
345,truth,진실
346,school,학교
347,face,얼굴
348,forget,잊다
349,TRUE,진실
350,business,사업
351,each,각
352,cause,원인
353,soon,곧
354,knows,알고 있습니다
355,few,약간의
356,telling,말함
357,wife,부인
358,who's,누가
359,use,사용
360,chance,가능성
361,run,운영
362,move,이동하다
363,anyone,누구나
364,person,사람
365,bye,안녕
366,J.,제이.
367,somebody,어떤 사람
368,Dr. or dr.,Dr. 또는 Dr.
369,heart,마음
370,such,그런
371,miss,놓치다
372,married,기혼
373,point,가리키다
374,later,나중에
375,making,만들기
376,meet,만나다
377,anyway,그래도
378,many,많은
379,phone,핸드폰
380,reason,이유
381,damn,젠장
382,lost,잃어버린
383,looks,외모
384,bring,가져오다
385,case,사례
386,turn,회전하다
387,wish,소망
388,kids,어린이
389,trust,신뢰하다
390,check,확인하다
391,change,변화
392,end,끝
393,late,늦은
394,anymore,더 이상
395,five,다섯
396,least,최소
397,town,도시
398,aren't,그렇지 않습니다
399,ha,하아
400,working,일하고 있는
401,year,년도
402,makes,만든다
403,taking,취득
404,means,수단
405,brother,형제
406,play,플레이
407,hate,싫어하다
408,ago,~ 전에
409,says,말한다
410,beautiful,아름다운
411,gave,주었다
412,fact,사실
413,crazy,미친
414,party,파티
415,sit,앉다
416,open,열려 있는
417,afraid,두려워하는
418,between,~ 사이
419,important,중요한
420,rest,쉬다
421,fun,재미있는
422,kid,어린이
423,word,단어
424,watch,보다
425,glad,기쁜
426,everyone,여러분
427,days,날
428,sister,자매
429,minutes,분
430,everybody,여러분
431,bit,조금
432,whoa,우와
433,either,어느 하나
434,Mrs.,부인.
435,feeling,감정
436,daughter,딸
437,wow,와
438,gets,얻는다
439,asked,물었다
440,under,아래에
441,break,부서지다
442,promise,약속하다
443,door,문
444,set,세트
445,close,닫다
446,hand,손
447,easy,쉬운
448,question,의문
449,doctor,의사
450,tried,시험을 마친
451,far,멀리
452,walk,걷다
453,needs,필요합니다
454,trouble,문제
455,mine,나의 것
456,though,그렇지만
457,times,타임스
458,different,다른
459,killed,살해
460,hospital,병원
461,anybody,아무도
462,Sam or SAM,샘 또는 샘
463,alright,괜찮은
464,wedding,혼례
465,shut,닫다
466,able,할 수 있는
467,die,주사위
468,perfect,완벽한
469,police,경찰
470,stand,서다
471,comes,온다
472,hit,때리다
473,story,이야기
474,ya,당신
475,mm,mm
476,waiting,대기 중
477,dinner,저녁
478,against,에 맞서
479,funny,재미있는
480,husband,남편
481,almost,거의
482,stupid,멍청한
483,pay,지불
484,answer,대답
485,four,네
486,office,사무실
487,cool,시원한
488,eyes,눈
489,news,소식
490,child,어린이
491,shouldn't,그렇지 않아야합니다
492,half,반
493,side,옆
494,yours,당신 것
495,moment,순간
496,sleep,잠
497,read,읽다
498,where's,어디있어
499,started,시작
500,young,어린
501,men,남자들
502,sounds,소리
503,sonny or Sonny,Sonny 또는 Sonny
504,lucky,운이 좋은
505,pick,선택하다
506,sometimes,때때로
507,em,여자 이름
508,bed,침대
509,also,또한
510,date,데이트
511,line,선
512,plan,계획
513,hours,시간
514,lose,잃다
515,fire,불
516,free,무료
517,hands,소유
518,serious,심각한
519,Leo,사자 별자리
520,shit,똥
521,behind,뒤에
522,inside,내부에
523,high,높은
524,ahead,앞으로
525,week,주
526,wonderful,아주 멋진
527,T.,티.
528,fight,싸움
529,past,과거
530,cut,자르다
531,quite,상당히
532,number,숫자
533,he'll,지옥
534,sick,아픈
535,S.,에스.
536,it'll,그것은 할 것이다
537,game,게임
538,eat,먹다
539,nobody,아무도
540,goes,간다
541,death,죽음
542,along,~을 따라
543,save,저장
544,seems,보인다
545,finally,마지막으로
546,lives,살아
547,worried,걱정하는
548,upset,속상한
549,Theresa,거기에
550,Carly,칼리
551,Ethan,에단
552,met,만났다
553,book,책
554,brought,가져왔다
555,seem,~인 것 같다
556,sort,종류
557,safe,안전한
558,living,생활
559,children,어린이들
560,weren't,그렇지 않았습니다
561,leaving,퇴거
562,front,앞쪽
563,shot,발사
564,loved,사랑
565,asking,질문
566,running,달리기
567,clear,분명한
568,figure,수치
569,hot,더운
570,felt,느꼈다
571,six,여섯
572,parents,부모님
573,drink,마시다
574,absolutely,물론
575,how's,어때
576,daddy,아빠
577,sweet,달콤한
578,alive,살아 있는
579,Paul,폴
580,sense,감각
581,meant,의미했다 
582,happens,발생합니다
583,David,데이비드
584,special,특별한
585,bet,내기
586,blood,피
587,ain't,그렇지 않습니다
588,kidding,농담
589,lie,거짓말하다
590,full,가득한
591,meeting,회의
592,dear,~에게
593,coffee,커피
594,seeing,봄
595,sound,소리
596,fault,잘못
597,water,물
598,fuck,못쓰게 만들다
599,ten,십
600,women,여성
601,John or john,존 또는 요한
602,welcome,환영하다
603,buy,구입
604,months,달
605,speak,말하다
606,lady,숙녀
607,Jen,젠
608,thinks,생각합니다
609,Christmas,크리스마스
610,body,신체
611,order,주문하다
612,outside,밖의
613,hang,매달다
614,possible,가능한
615,worse,더 나쁜
616,company,회사
617,mistake,실수
618,ooh,오
619,spend,경비
620,C.,씨.
621,totally,완전히
622,giving,기부
623,control,제어
624,here's,여기에 있습니다
625,marriage,결혼
626,realize,깨닫다
627,D.,디.
628,power,힘
629,president,대통령
630,unless,~하지 않는 한
631,sex,섹스
632,girls,여자
633,send,보내다
634,needed,필요합니다
635,O. or o,O. 또는 o
636,taken,촬영
637,died,사망 한
638,scared,무서운
639,picture,그림
640,talked,이야기했다
641,Jake,제이크
642,Al,알
643,ass,나귀
644,hundred,백
645,changed,변경
646,completely,완전히
647,explain,설명
648,playing,놀이
649,certainly,틀림없이
650,sign,징후
651,boys,소년들
652,relationship,관계
653,Michael,남자 이름
654,loves,사랑
655,fucking,빌어 먹을
656,hair,머리카락
657,lying,거짓말하는
658,choice,선택
659,anywhere,어딘가에
660,secret,비밀
661,future,미래
662,weird,기이한
663,luck,운
664,she'll,껍데기
665,Max or max.,맥스 또는 맥스.
666,Luis,루이스
667,turned,돌린
668,known,모두 다 아는
669,touch,접촉
670,kiss,키스
671,Crane or crane,크레인 또는 크레인
672,questions,질문
673,obviously,확실히
674,wonder,궁금하다
675,pain,통증
676,calling,부름
677,somewhere,어딘가에
678,throw,던지다
679,straight,똑바로
680,Grace or grace,은혜 나 은혜
681,cold,추운
682,white or White,흰색 또는 흰색
683,fast,빠른
684,Natalie,나탈리
685,words,단어
686,R.,아르 자형.
687,food,음식
688,none,없음
689,drive,운전하다
690,feelings,감정
691,they'll,그들은 할 것이다
692,worked,일했다
693,marry,결혼하다
694,light,빛
695,test,테스트
696,drop,하락
697,cannot,할 수 없습니다
698,Frank,솔직한
699,sent,전송된
700,city,도시
701,dream,꿈
702,protect,보호하다
703,twenty,이십
704,class,수업
705,Lucy,루시
706,surprise,놀라다
707,its,그것의
708,sweetheart,여보
709,forever,영원히
710,poor,가난한
711,looked,보였다
712,mad,미친
713,except,제외하고
714,gun,총
715,y'know,알았어
716,dance,춤
717,takes,테이크
718,appreciate,고마워하다
719,especially,특히
720,situation,상황
721,besides,뿐만 아니라
722,weeks,주
723,pull,당기다
724,himself,그 자신
725,hasn't,그렇지 않았습니다
726,act,행동
727,worth,가치
728,Sheridan,셰리 던
729,amazing,놀라운
730,top,맨 위
731,given,주어진
732,expect,예상하다
733,Ben,벤
734,rather,꽤
735,Julian,줄리안
736,involved,관련된
737,swear,욕을 하다
738,piece,조각
739,busy,바쁘다
740,law,법
741,decided,결정했다
742,black or Black,검은 색 또는 검은 색
743,Joey,조이
744,happening,사고
745,movie,영화
746,we'd,우리는
747,catch,잡다
748,Antonio,안토니오
749,country,국가
750,less,더 적은
751,perhaps,아마도
752,step,단계
753,fall,떨어지다
754,watching,보고있다
755,kept,유지된
756,darling,여보
757,dog,개
758,Ms.,미사
759,win,이기다
760,air,공기
761,honor,명예
762,personal,개인의
763,moving,움직이는
764,till,까지
765,admit,인정하다
766,problems,문제
767,murder,살인
768,strong,강한
769,evil,사악한
770,definitely,분명히
771,feels,느낌
772,information,정보
773,honest,솔직한
774,eye,눈
775,broke,파산
776,missed,놓쳤다
777,longer,더 길게
778,dollars,불화
779,tired,피곤한
780,Jason,제이슨
781,George,성 조지
782,evening,저녁
783,human,인간
784,starting,시작
785,Ross,로스
786,red,빨간색
787,entire,전체
788,trip,여행
789,Brooke,브룩
790,E.,이자형.
791,club,클럽
792,Niles,나일 즈
793,suppose,가정하다
794,calm,침착한
795,imagine,상상하다
796,Todd,토드
797,fair,공정한
798,caught,잡았다
799,B.,비.
800,blame,탓하다
801,street,거리
802,sitting,좌석
803,favor,호의
804,apartment,아파트
805,court,법원
806,clean,깨끗한
807,Tony or tony,토니 또는 토니
808,learn,배우다
809,Alison,앨리슨
810,Rick,약간 뒤틀리게 하다
811,works,공장
812,Rose or rose,장미 또는 장미
813,Frasier,프레이저
814,relax,안심하다
815,York,요크
816,million,백만
817,charity,자선 단체
818,accident,사고
819,wake,일어나 다
820,prove,입증하다
821,Danny,대니
822,smart,똑똑한
823,message,메시지
824,missing,잃어버린
825,forgot,잊어버렸다
826,small,작은
827,interested,관심 있는
828,table,테이블
829,nbsp,NBSP
830,become,~이 되다
831,Craig,크레이그
832,mouth,입
833,pregnant,임신한
834,middle,가운데
835,Billy or billy,빌리 또는 빌리
836,ring,반지
837,careful,주의 깊은
838,shall,~일 것이다
839,dude,녀석
840,team,팀
841,ride,타다
842,figured,문채 있는
843,wear,입다
844,shoot,사격
845,stick,막대
846,Ray or ray,레이 또는 레이
847,follow,따르다
848,Bo,악
849,angry,화난
850,instead,대신에
851,buddy,친구
852,write,쓰다
853,stopped,멈췄다
854,early,일찍
855,Angel or angel,천사 또는 천사
856,Nick or nick,닉 또는 닉
857,ran,달렸다
858,war,전쟁
859,standing,서 있는
860,forgive,용서하다
861,jail,교도소
862,wearing,착용
863,Miguel,미겔
864,ladies,숙녀
865,kinda,좀
866,lunch,점심
867,Cristian,크리스티안
868,eight,여덟
869,Greenlee,그린리
870,gotten,얻었다
871,hoping,바라고
872,Phoebe,페베
873,thousand,천
874,ridge,산등성이
875,music,음악
876,Luke,루크
877,paper,종이
878,tough,힘든
879,tape,줄자
880,Emily,에밀리
881,state,상태
882,count,세다
883,college,대학
884,boyfriend,남자 친구
885,proud,자랑스러운
886,agree,동의하다
887,birthday,생신
888,bill,계산서
889,seven,일곱
890,they've,그들은
891,Timmy,티미
892,history,역사
893,share,공유하다
894,offer,권하다
895,hurry,서두르다
896,ow,"오,"
897,feet,피트
898,wondering,궁금합니다
899,simple,단순한
900,decision,결정
901,building,건물
902,ones,하나
903,finish,마치다
904,voice,목소리
905,herself,그녀 자신
906,Chris,크리스
907,would've,아마
908,list,목록
909,Kay,케이
910,mess,엉망
911,deserve,~ 받을 만하다
912,evidence,증거
913,cute,귀엽다
914,Jerry,실내 변기
915,dress,드레스
916,Richard,리차드
917,interesting,흥미로운
918,Jesus,예수
919,James,제임스
920,hotel,호텔
921,enjoy,즐겨
922,Ryan,라이언
923,Lindsay,린제이
924,quiet,조용한
925,concerned,관심 있는
926,road,도로
927,Eve or eve,이브 또는 이브
928,staying,체재
929,short,짧은
930,M.,중.
931,beat,이기다
932,sweetie,사탕
933,mention,언급하다
934,clothes,옷
935,finished,완성된
936,fell,쓰러뜨리다
937,neither,어느 것도 아니다
938,mmm,음
939,fix,고치다
940,Victor or victor,빅터 또는 빅터
941,respect,존경
942,spent,지출
943,prison,감옥
944,attention,주목
945,holding,보유
946,calls,전화
947,near,가까운
948,surprised,놀란
949,bar,술집
950,Beth,베스
951,pass,통과하다
952,keeping,유지
953,gift,선물
954,hadn't,그렇지 않았다
955,putting,퍼팅
956,dark,어두운
957,self,본인
958,owe,빚지다
959,using,사용
960,Nora,노라
961,ice,빙
962,helping,거들기
963,bitch,암캐
964,normal,정상
965,aunt,이모
966,apart,따로
967,certain,확실한
968,plans,계획
969,Jax,Jax
970,girlfriend,여자 친구
971,floor,바닥
972,whether,~이든
973,everything's,모든 것
974,present,현재
975,earth,지구
976,private,사적인
977,Jessica,제시카
978,box,상자
979,Dawson,도슨
980,cover,씌우다
981,judge,판사
982,upstairs,높은 곳에 있는
983,Alexis,알렉시스
984,Shawn,숀
985,sake,사케
986,mommy,엄마
987,possibly,혹시
988,worst,가장 나쁜
